symbol,exchange,exchangeSuffix,exchangeName,exchangeSegment,exchangeSegmentName,name,date,type,iexId,region,currency,isEnabled,figi,cik,lei
225530.KQ,XKOS,KQ,Korea Exchange Kosdaq,XKOS,Korea Exchange Kosdaq,Bokwang Industry Co.Ltd,2023-02-08,cs,,KR,KRW,True,BBG00BF0MMC2,,
225570.KQ,XKOS,KQ,Korea Exchange Kosdaq,XKOS,Korea Exchange Kosdaq,Nexon Games Co. Ltd.,2023-02-08,cs,,KR,KRW,True,BBG009SZS4L0,,
225590.KQ,XKOS,KQ,Korea Exchange Kosdaq,XKOS,Korea Exchange Kosdaq,Fashion Platform Co.Ltd.,2023-02-08,cs,,KR,KRW,True,BBG009TFQ195,,
225800.KS,XKRX,KP,Korea Exchange Stock Market,XKRX,Korea Exchange Stock Market,Woori Credit Suisse Asset Management Co. Ltd - Kiwoom KOSEF Synth-USD Futures Leverage ETF,2023-02-08,et,IEX_4C53334457322D52,KR,KRW,True,BBG009RRR2Z9,,
226320.KS,XKRX,KP,Korea Exchange Stock Market,XKRX,Korea Exchange Stock Market,Itshanbul,2023-02-08,cs,IEX_4E545A4836362D52,KR,KRW,True,BBG00B6V62J9,,
226330.KQ,XKOS,KQ,Korea Exchange Kosdaq,XKOS,Korea Exchange Kosdaq,SyntekaBio Inc.,2023-02-08,cs,,KR,KRW,True,BBG00QT56L24,,
226340.KQ,XKOS,KQ,Korea Exchange Kosdaq,XKOS,Korea Exchange Kosdaq,Bonne Co. Ltd.,2023-02-08,cs,,KR,KRW,True,BBG00B30CXQ7,,
226350.KQ,XKOS,KQ,Korea Exchange Kosdaq,XKOS,Korea Exchange Kosdaq,IM Tech Inc.,2023-02-08,cs,,KR,KRW,True,BBG00C0P5BB5,,
226360.KQ,XKOS,KQ,Korea Exchange Kosdaq,XKOS,Korea Exchange Kosdaq,KH Construction Co. Ltd.,2023-02-08,cs,,KR,KRW,True,BBG00B00M9L7,,
226380.KS,XKRX,KP,Korea Exchange Stock Market,XKRX,Korea Exchange Stock Market,"Korea Investment Trust Management Co, Ltd. - KIM ACE Korean Culture ETF",2023-02-08,et,IEX_4839375356352D52,KR,KRW,True,BBG009SZT0B8,,
226400.KQ,XKOS,KQ,Korea Exchange Kosdaq,XKOS,Korea Exchange Kosdaq,Osteonic Co.Ltd,2023-02-08,cs,,KR,KRW,True,BBG00CTJCPD7,,
226490.KS,XKRX,KP,Korea Exchange Stock Market,XKRX,Korea Exchange Stock Market,Samsung Investment Trust Management Co. Ltd - Samsung KODEX Kospi ETF,2023-02-08,et,IEX_52534A4B34532D52,KR,KRW,True,BBG009T8R0P4,,
226950.KQ,XKOS,KQ,Korea Exchange Kosdaq,XKOS,Korea Exchange Kosdaq,OliX Pharmaceuticals Inc,2023-02-08,cs,,KR,KRW,True,BBG00L3G26X2,,
226980.KS,XKRX,KP,Korea Exchange Stock Market,XKRX,Korea Exchange Stock Market,Samsung Investment Trust Management Co. Ltd - Samsung KODEX 200 Mid-Small ETF,2023-02-08,et,IEX_4D385A5937392D52,KR,KRW,True,BBG009XKGZ22,,
227100.KQ,XKOS,KQ,Korea Exchange Kosdaq,XKOS,Korea Exchange Kosdaq,H&B Design Co. Ltd.,2023-02-08,cs,,KR,KRW,True,BBG00M6T1T24,,
227420.KE,XKON,KE,Korea New Exchange,XKON,Korea New Exchange,Dobu Mask Inc,2023-02-08,cs,,KR,KRW,True,BBG00FN4F755,,
227540.KS,XKRX,KP,Korea Exchange Stock Market,XKRX,Korea Exchange Stock Market,Mirae Asset Global Investments Co. Ltd. - MAPS MIRAE Asset Tiger 200 Health Care ETF,2023-02-08,et,IEX_5657323651372D52,KR,KRW,True,BBG00B2FXJT0,,
227550.KS,XKRX,KP,Korea Exchange Stock Market,XKRX,Korea Exchange Stock Market,Mirae Asset Global Investments Co. Ltd. - MAPS MIRAE Asset Tiger 200 Industrials ETF,2023-02-08,et,IEX_4832475339322D52,KR,KRW,True,BBG00B2FXKQ0,,
227560.KS,XKRX,KP,Korea Exchange Stock Market,XKRX,Korea Exchange Stock Market,Mirae Asset Global Investments Co. Ltd. - MAPS MIRAE Asset Tiger 200 Consumer Staples ETF,2023-02-08,et,IEX_425A394D51472D52,KR,KRW,True,BBG00B2FXK53,,
227570.KS,XKRX,KP,Korea Exchange Stock Market,XKRX,Korea Exchange Stock Market,Mirae Asset Global Investments Co. Ltd. - MAPS MIRAE Asset Tiger Quality Value ETF,2023-02-08,et,IEX_424434474D592D52,KR,KRW,True,BBG00B2FXHM1,,
227610.KQ,XKOS,KQ,Korea Exchange Kosdaq,XKOS,Korea Exchange Kosdaq,Outin Futures Co. Ltd.,2023-02-08,cs,,KR,KRW,True,BBG00GTY49Y7,,
227830.KS,XKRX,KP,Korea Exchange Stock Market,XKRX,Korea Exchange Stock Market,Hanwha Investment Trust Management - Hanwha Arirang Kospi ETF,2023-02-08,et,IEX_5839433537512D52,KR,KRW,True,BBG00B2FX7S7,,
227840.KS,XKRX,KP,Korea Exchange Stock Market,XKRX,Korea Exchange Stock Market,Hyundai Corporation Holdings,2023-02-08,cs,IEX_54444E58504A2D52,KR,KRW,True,BBG0099TW4Z5,,
227950.KQ,XKOS,KQ,Korea Exchange Kosdaq,XKOS,Korea Exchange Kosdaq,N2tech Co. Ltd.,2023-02-08,cs,,KR,KRW,True,BBG00B5FL486,,
228340.KQ,XKOS,KQ,Korea Exchange Kosdaq,XKOS,Korea Exchange Kosdaq,Tongyang Pile Inc.,2023-02-08,cs,,KR,KRW,True,BBG00CCJKH80,,
228670.KQ,XKOS,KQ,Korea Exchange Kosdaq,XKOS,Korea Exchange Kosdaq,Ray Co. Ltd,2023-02-08,cs,,KR,KRW,True,BBG00PM6GJV3,,
228760.KQ,XKOS,KQ,Korea Exchange Kosdaq,XKOS,Korea Exchange Kosdaq,Genomictree Inc.,2023-02-08,cs,,KR,KRW,True,BBG00DBKVJY1,,
228790.KS,XKRX,KP,Korea Exchange Stock Market,XKRX,Korea Exchange Stock Market,Mirae Asset Global Investments Co. Ltd. - MAPS MIRAE Asset Tiger Cosmetics ETF,2023-02-08,et,IEX_5447545030352D52,KR,KRW,True,BBG00B55K4N2,,
228800.KS,XKRX,KP,Korea Exchange Stock Market,XKRX,Korea Exchange Stock Market,Mirae Asset Global Investments Co. Ltd. - MAPS MIRAE Asset Tiger Tour Leisure ETF,2023-02-08,et,IEX_50434E4A464B2D52,KR,KRW,True,BBG00B55K675,,
228810.KS,XKRX,KP,Korea Exchange Stock Market,XKRX,Korea Exchange Stock Market,Mirae Asset Global Investments Co. Ltd. - MAPS MIRAE Asset Tiger Media Contents ETF,2023-02-08,et,IEX_4E53484343312D52,KR,KRW,True,BBG00B55K6M8,,
228820.KS,XKRX,KP,Korea Exchange Stock Market,XKRX,Korea Exchange Stock Market,Mirae Asset Global Investments Co. Ltd. - MAPS MIRAE Asset Tiger KTOP30 ETF,2023-02-08,et,IEX_4E39515858522D52,KR,KRW,True,BBG00B6BMLN8,,
